	Name_neighbourhood_group	neighbourhood_group	Name_neighbourhood	neighbourhood	Name_room_type	room_type	Name_bed_type	bed_type	Name_risk_rating	risk_rating	Name_cancellation_policy	cancellation_policy	neighbourhood_group	neighbourhood	room_type
28	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	0
29	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	Medium risk	2	moderate	1	0	18	2
30	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	High risk	0	flexible	0	3	32	2
31	East Region	1	Pasir Ris	24	Private room	2	Real Bed	4	High risk	0	flexible	0	1	24	2
32	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
33	North-East Region	3	Punggol	26	Private room	2	Real Bed	4	High risk	0	flexible	0	3	26	2
34	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	High risk	0	moderate	1	0	27	2
36	Central Region	0	Marine Parade	18	Entire home/apt	0	Real Bed	4	Medium risk	2	moderate	1	0	18	0
37	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	Medium risk	2	moderate	1	0	18	2
38	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
39	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
40	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
41	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	High risk	0	moderate	1	3	32	2
42	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	2
43	Central Region	0	Novena	21	Private room	2	Real Bed	4	Medium risk	2	flexible	0	0	21	2
44	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
45	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
46	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Low risk	1	flexible	0	0	15	2
47	Central Region	0	Singapore River	33	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	33	0
48	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	37	0
49	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	0
50	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	0
51	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	18	2
52	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
53	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
54	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
55	Central Region	0	Queenstown	27	Private room	2	Real Bed	4	Medium risk	2	moderate	1	0	27	2
56	Central Region	0	Queenstown	27	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	27	3
57	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	11	0
58	East Region	1	Bedok	1	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	2
59	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
60	East Region	1	Bedok	1	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	2
61	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
62	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	38	2
63	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
64	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	moderate	1	0	15	2
65	Central Region	0	Novena	21	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	21	2
66	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	15	0
67	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	4	2
68	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
69	Central Region	0	Marine Parade	18	Private room	2	Real Bed	4	High risk	0	moderate	1	0	18	2
70	North-East Region	3	Ang Mo Kio	0	Private room	2	Real Bed	4	High risk	0	flexible	0	3	0	2
71	West Region	4	Bukit Batok	3	Private room	2	Real Bed	4	High risk	0	moderate	1	4	3	2
72	Central Region	0	Novena	21	Private room	2	Real Bed	4	Medium risk	2	flexible	0	0	21	2
73	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	2
74	Central Region	0	Outram	23	Shared room	3	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	3
75	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	1
76	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	1
77	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	2
78	Central Region	0	Museum	19	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	19	0
79	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	2
80	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
82	Central Region	0	Newton	20	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	20	2
83	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	Low risk	1	moderate	1	0	15	3
84	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	36	2
85	Central Region	0	Tanglin	37	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	1
86	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
87	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	flexible	0	1	36	2
88	North-East Region	3	Ang Mo Kio	0	Private room	2	Real Bed	4	High risk	0	moderate	1	3	0	2
89	Central Region	0	Geylang	11	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	11	2
90	East Region	1	Bedok	1	Private room	2	Real Bed	4	Low risk	1	moderate	1	1	1	2
91	East Region	1	Bedok	1	Private room	2	Real Bed	4	Low risk	1	flexible	0	1	1	2
92	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	28	2
93	Central Region	0	Toa Payoh	38	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	38	0
94	Central Region	0	Queenstown	27	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	27	0
95	East Region	1	Bedok	1	Private room	2	Real Bed	4	Low risk	1	flexible	0	1	1	2
96	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
97	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	10	0
98	Central Region	0	Novena	21	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	21	2
99	West Region	4	Choa Chu Kang	8	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	8	0
100	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	38	2
101	Central Region	0	Novena	21	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	2
102	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
103	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
104	West Region	4	Choa Chu Kang	8	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	8	2
105	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	0
106	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	1
107	Central Region	0	Novena	21	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	21	0
108	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	0
109	Central Region	0	Novena	21	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	21	2
110	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	2
111	West Region	4	Choa Chu Kang	8	Private room	2	Real Bed	4	Medium risk	2	moderate	1	4	8	2
112	North-East Region	3	Hougang	12	Private room	2	Real Bed	4	High risk	0	moderate	1	3	12	2
113	Central Region	0	Toa Payoh	38	Shared room	3	Real Bed	4	High risk	0	flexible	0	0	38	3
114	North Region	2	Woodlands	40	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	2	40	2
115	Central Region	0	Singapore River	33	Entire home/apt	0	Real Bed	4	Low risk	1	flexible	0	0	33	0
116	Central Region	0	Outram	23	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	2
117	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
118	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
119	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	moderate	1	0	15	2
120	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
121	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	2
122	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	2
124	Central Region	0	Bukit Timah	6	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	6	0
125	Central Region	0	Museum	19	Entire home/apt	0	Real Bed	4	Medium risk	2	moderate	1	0	19	0
126	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	38	2
127	Central Region	0	Outram	23	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	2
128	Central Region	0	Outram	23	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	2
129	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	flexible	0	0	29	2
130	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
131	Central Region	0	Queenstown	27	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	27	3
132	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	1	1	2
133	Central Region	0	Museum	19	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	19	0
134	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	28	0
135	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
136	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
137	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
138	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
139	Central Region	0	Orchard	22	Private room	2	Futon	2	Low risk	1	moderate	1	0	22	2
140	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	3
141	North Region	2	Sembawang	30	Private room	2	Real Bed	4	Low risk	1	moderate	1	2	30	2
142	North-East Region	3	Hougang	12	Private room	2	Real Bed	4	High risk	0	moderate	1	3	12	2
143	Central Region	0	Museum	19	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	19	2
144	Central Region	0	Toa Payoh	38	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	38	0
145	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	4	0
146	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	0
147	Central Region	0	River Valley	28	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	1
148	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	0
149	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	1
150	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	1
151	Central Region	0	Kallang	15	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	1
152	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	36	2
153	Central Region	0	River Valley	28	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	1
154	Central Region	0	Kallang	15	Shared room	3	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	3
155	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
156	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	0
157	East Region	1	Tampines	36	Private room	2	Real Bed	4	High risk	0	moderate	1	1	36	2
158	Central Region	0	Tanglin	37	Private room	2	Real Bed	4	Medium risk	2	flexible	0	0	37	2
159	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	0
160	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	23	2
161	Central Region	0	Singapore River	33	Private room	2	Real Bed	4	High risk	0	flexible	0	0	33	2
162	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	28	0
163	East Region	1	Tampines	36	Private room	2	Real Bed	4	Low risk	1	moderate	1	1	36	2
164	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	flexible	0	0	4	2
165	East Region	1	Pasir Ris	24	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	1	24	2
166	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
167	Central Region	0	Marine Parade	18	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	18	0
168	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
169	North-East Region	3	Ang Mo Kio	0	Private room	2	Real Bed	4	High risk	0	flexible	0	3	0	2
170	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
171	North-East Region	3	Serangoon	32	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	3	32	2
172	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	1
173	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	1
174	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	1	1	0
175	Central Region	0	Singapore River	33	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	33	0
176	Central Region	0	Newton	20	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	20	0
177	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	1
178	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	1
179	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
180	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	1
181	Central Region	0	Outram	23	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	2
182	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
183	West Region	4	Jurong West	14	Private room	2	Real Bed	4	Low risk	1	flexible	0	4	14	2
184	West Region	4	Clementi	9	Private room	2	Real Bed	4	High risk	0	flexible	0	4	9	2
185	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	2
186	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	2
187	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	15	2
188	Central Region	0	River Valley	28	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	0
189	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	moderate	1	4	14	2
190	West Region	4	Bukit Panjang	5	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	4	5	0
191	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	flexible	0	0	4	2
192	Central Region	0	Geylang	11	Private room	2	Real Bed	4	High risk	0	flexible	0	0	11	2
193	West Region	4	Jurong West	14	Private room	2	Real Bed	4	Low risk	1	flexible	0	4	14	2
194	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	2
195	East Region	1	Bedok	1	Private room	2	Real Bed	4	High risk	0	flexible	0	1	1	2
196	Central Region	0	Rochor	29	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	2
197	West Region	4	Jurong East	13	Private room	2	Real Bed	4	High risk	0	flexible	0	4	13	2
198	West Region	4	Jurong East	13	Private room	2	Real Bed	4	Medium risk	2	flexible	0	4	13	2
199	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
200	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
201	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	15	2
203	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
204	Central Region	0	Bukit Timah	6	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	6	0
205	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	0
206	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	2
207	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	23	1
208	Central Region	0	Outram	23	Hotel room	1	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	23	1
209	Central Region	0	Singapore River	33	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	33	2
210	Central Region	0	Novena	21	Private room	2	Real Bed	4	High risk	0	flexible	0	0	21	2
211	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	4	0
212	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	37	0
213	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	37	0
214	Central Region	0	River Valley	28	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	28	2
215	Central Region	0	Marine Parade	18	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	18	0
216	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	15	2
217	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	14	2
218	West Region	4	Jurong West	14	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	4	14	2
219	Central Region	0	Bukit Timah	6	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	6	0
220	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
221	West Region	4	Jurong East	13	Private room	2	Real Bed	4	High risk	0	moderate	1	4	13	2
222	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	37	0
223	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	Medium risk	2	flexible	0	0	15	0
224	Central Region	0	Bukit Merah	4	Private room	2	Real Bed	4	High risk	0	flexible	0	0	4	2
225	Central Region	0	Toa Payoh	38	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	38	0
226	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	2
227	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	2
228	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	2
229	Central Region	0	Rochor	29	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	29	0
230	Central Region	0	Newton	20	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	20	2
231	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	15	2
232	East Region	1	Bedok	1	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	1	1	0
233	Central Region	0	Outram	23	Entire home/apt	0	Real Bed	4	High risk	0	moderate	1	0	23	0
234	Central Region	0	Kallang	15	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	0	15	0
235	Central Region	0	Tanglin	37	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	37	0
236	North-East Region	3	Sengkang	31	Private room	2	Real Bed	4	High risk	0	flexible	0	3	31	2
237	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	High risk	0	flexible	0	0	4	0
238	North-East Region	3	Serangoon	32	Entire home/apt	0	Real Bed	4	Low risk	1	moderate	1	3	32	0
239	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	10	0
240	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	2
241	North Region	2	Sembawang	30	Private room	2	Real Bed	4	High risk	0	flexible	0	2	30	2
242	Central Region	0	Bukit Merah	4	Entire home/apt	0	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	4	0
243	Central Region	0	Kallang	15	Private room	2	Real Bed	4	Low risk	1	moderate	1	0	15	2
244	Central Region	0	Outram	23	Private room	2	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	23	2
245	Central Region	0	Toa Payoh	38	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	38	2
246	Central Region	0	Downtown Core	10	Entire home/apt	0	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	10	0
247	Central Region	0	Geylang	11	Private room	2	Real Bed	4	Medium risk	2	strict_14_with_grace_period	2	0	11	2
248	Central Region	0	Kallang	15	Private room	2	Real Bed	4	High risk	0	strict_14_with_grace_period	2	0	15	2
249	Central Region	0	River Valley	28	Private room	2	Real Bed	4	High risk	0	flexible	0	0	28	2
250	West Region	4	Choa Chu Kang	8	Private room	2	Real Bed	4	Low risk	1	flexible	0	4	8	2
251	Central Region	0	Geylang	11	Entire home/apt	0	Real Bed	4	Low risk	1	strict_14_with_grace_period	2	0	11	0
